,canal_ID,video_ID,video_Title
116,UCBWF6OT9sHQU0rnMmUPdmyA,ogzcw7xolZg,El LIBERALISMO - Resumen | Liberalismo Político y Liberalismo Económico
117,UCTVEB8qiadgWTBy_mT1Kn2w,wS_Au-dllGo,Conexión de las familias reales europeas  (Árbol genealógico y explicación)
118,UCDNrhsx2ehcfUBXuQIjzskw,JxiRGlb5ns8,Al descubierto la gran mentira de la transición española
119,UCnsvJeZO4RigQ898WdDNoBw,PT1zPQa-074,Reportaje | ¿Qué saben los JÓVENES VASCOS sobre ETA?
120,UCDUxOvbwu1bnyD7AucP0ESw,9vlzrpAzLzw,Harry revela la verdadera razón de su salida de la realeza | Al Rojo Vivo | Telemundo
121,UCtBpYvKo5Q69mVtafO4cyuA,fx4pDOkMMcg,El Intrigante Secreto de la Reina Letizia que Está Transformando la Monarquía Española
122,UCyoGb3SMlTlB8CLGVH4c8Rw,QQvUJUptgUg,¿Cuánto cuesta la monarquía a los belgas?
123,UCQiMUpAmskFqrcP77ue5vSw,Vqa-Pf2B3lI,La Monarquía de todos
124,UCBIMW0ZhwULY_x7fdaPRPiQ,5CCYyEzftJA,HISTORIA DE ESPAÑA - Antigua y Medieval - Hasta 1492 - (Documental resumen)
125,UCO9cQ9FLGRRJs_t5QVm3mSQ,k7JuZMlddBY,Significado de la Monarquia Española
126,UCWzQmDWp_mjh3AOzPCZNzEQ,FpWyhcuF7yA,La monarquía de los Reyes Católicos
127,UC5wWSpXpO_rOuP3e62Fqv7Q,SqeeqXzVxBo,CRISIS DE LA MONARQUÍA ESPAÑOLA | Historia del Perú 🇵🇪
128,UCp6X5jzfmwbOeclRArOi18g,eOw1udp0tV0,Buen Día - Rey Juan Carlos: Polémica en la monarquía española
129,UCTyCyyV0eKfEoMWI_V11z6A,YEGWTNhdd8g,Aprender español: Organización política de España (nivel intermedio)
130,UCnKlfDXaVP-6uIACOJeVPfw,EPQgp1LuZng,👑 El REINADO de FERNANDO VII | RESUMEN
131,UCMPko5LzK57hWuYIxRupIFg,Yf04K0jmSb8,¿Monarquía o República?  ¿Qué es mas barato de mantener? Evaluación de costes y beneficios
132,UCnKlfDXaVP-6uIACOJeVPfw,TpuZUQYeB-g,🔴 La ILUSTRACIÓN del SIGLO XVIII en 5 minutos ‼
133,UCUBIrDsIVzRpKsClMlSlTpQ,InLUR88QUXU,El origen del conflicto en el Sahara Occidental (y qué papel tiene España)
134,UCJZfGmDMk_r2yV-EMVEeKmg,k-cf2eTwu4Y,La Princesa LEONOR: El Lado Desconocido de su LUJOSA VIDA
135,UC6UcLexTVtRCgv42PEv6LmA,quPOTjWKNSE,Así es cómo la princesa Leonor está &quot;salvando&quot; la monarquía española
136,UCU2pGkCsT2InFTQBeTFdn5w,5YTdyLPgdPE,Presente y futuro de la monarquía española
137,UCTU5w8mXt53dumCy7BNvyHA,MqtQUbCT7So,Momentos incómodos entre infanta Sofía y el rey Felipe
138,UCijOSUTXgksRjtZu7Xg322Q,-MKUH_OMy4s,La decadencia de la monarquía española
139,UCv05qOuJ6Igbe-EyQibJgwQ,yj9N9DTtdas,La Guerra Civil española
140,UCkh2i4imLJG5z_OtvBgSo0Q,kGdonbr-kYw,Historia de España y su Monarquía 2: Casa de Borbón
141,UCSQsCiCxmK9takNgpkIujiA,8u_EwNgBLGM,La caída de la monarquía
142,UCcMFxfgITvyeNfxKtp1ggug,hDkB5Lf2Y1E,Dominicanos en España opinan sobre la Monarquía Española
143,UCLYwoMRXctfgOFMZYNhbpRA,He9ql3gdTno,La MONARQUÍA es INÚTIL #shorts
144,UCIvqcSPbzQBynjq230v9_yw,rFRTydxVOxM,Rufián critica que el PSOE vete investigar a la Monarquía y a Felipe González
145,UC3PhLH0Rj2e_-0hNvwTLxGA,6JUjBvgMA3U,La Base 4x32 | OPERACIÓN DE RÉGIMEN para apuntalar la MONARQUÍA en ESPAÑA
146,UCaUZaW4cgSb5h1B0VtZ16pQ,gj0_v6ByIic,Rompen más de tres años de silencio sobre la monarquía española
147,UC7QZIf0dta-XPXsp9Hv4dTw,zcpMe9kvgTk,La REINA LETIZIA cumple 50 AÑOS: Cómo era la JOVEN PERIODISTA que conocimos en el TELEDIARIO | RTVE
148,UCuFhFblVX2Hf34M621WI6pw,P_beV0FrELg,"LOS HABSBURGO, La casa de Austria en España - CASAS Y DINASTÍAS MODERNAS I -"
149,UC9AEwxiLCQb31oeJ4kETaCA,OlUiU9t-4nk,Debate sobre la monarquia española
150,UCJZfGmDMk_r2yV-EMVEeKmg,k-cf2eTwu4Y,La Princesa LEONOR: El Lado Desconocido de su LUJOSA VIDA
151,UCB6toQXxSyyqr_2U4f_ztPA,VlT3YXFSj-s,Pilar Rahola se jacta de críticar la democracia y monarquía Española
152,UCkh2i4imLJG5z_OtvBgSo0Q,kGdonbr-kYw,Historia de España y su Monarquía 2: Casa de Borbón
153,UCSQsCiCxmK9takNgpkIujiA,8u_EwNgBLGM,La caída de la monarquía
154,UC55PY8ESgkv92uKiYkc2-Bw,snxjCNO338I,#HuellasVlog: ¿QUÉ PASA CON LA MONARQUÍA ESPAÑOLA? - VLOG POR EUROPA
155,UCTU5w8mXt53dumCy7BNvyHA,MqtQUbCT7So,Momentos incómodos entre infanta Sofía y el rey Felipe
156,UCv05qOuJ6Igbe-EyQibJgwQ,yj9N9DTtdas,La Guerra Civil española
157,UCLYwoMRXctfgOFMZYNhbpRA,He9ql3gdTno,La MONARQUÍA es INÚTIL #shorts
158,UCLyttJmDas-OZhgJBlXAlEw,L65EXoRPDTI,&quot;Mi opinión sobre la monarquía&quot;
159,UC0ne0YsWBLK292EKd1tv55Q,3U3g5qfaS44,El Rey histórico: Mesa de opinión sobre el rey emérito Juan Carlos I de España (hecho con Spreaker)
160,UCuFhFblVX2Hf34M621WI6pw,P_beV0FrELg,"LOS HABSBURGO, La casa de Austria en España - CASAS Y DINASTÍAS MODERNAS I -"
161,UC7QZIf0dta-XPXsp9Hv4dTw,zcpMe9kvgTk,La REINA LETIZIA cumple 50 AÑOS: Cómo era la JOVEN PERIODISTA que conocimos en el TELEDIARIO | RTVE
162,UClMoKyM7mMgsKrYJuLECOJg,SlcS0QqLMFA,Olga Ulianova analiza la monarquía española
163,UCYUjxm-FSdiB_bYDyp86Eew,9WxR0chSWaQ,Jaime Peñafiel: &quot;La infanta Cristina se ha cargado la monarquía española&quot;
164,UC3PhLH0Rj2e_-0hNvwTLxGA,6JUjBvgMA3U,La Base 4x32 | OPERACIÓN DE RÉGIMEN para apuntalar la MONARQUÍA en ESPAÑA
165,UCPI5lphSbseuF6et4kOkCWg,KQ3zyktGdYI,La TREGUA de los 12 AÑOS: paz entre la Monarquía Española y las Provincias Unidas
166,UCWzQmDWp_mjh3AOzPCZNzEQ,crO4FzMVzCY,La monarquía absoluta
167,UCFnNyLZKlHU__h_vurcNKZQ,myOquYLAV6g,Millares reclaman fin de la monarquía española
168,UCUdOoVWuWmgo1wByzcsyKDQ,uvNnQozoPzc,¿Qué tan influeyente es hoy la monarquía británica y qué la diferencia de las otras?
169,UCxOahresT9J8qOYMYATh5QA,HA5vLwzQlSY,"Pablo Victoria: Monarquía española es de las menos costosas de Europa,la izquierda quiere eliminarla"
170,UCRpu_tbHf77if1cQhUqpfBQ,HV7KMXkEm6c,Alberto Peláez nos explica las distintas etapas de la monarquía de España..
171,UCwEZRpTmByg_t1T_O_sxsIg,xhtFBJ6kbIM,¿Qué papel juega la monarquía española?
172,UC9eCLBSj2fCYUsnMuelRloQ,EemzZxSxdlI,Así era la situación de España justo después de la guerra | España después de la Guerra
173,UCWzQmDWp_mjh3AOzPCZNzEQ,ALHhllf6_cY,La Monarquía Hispánica durante el siglo XVII
174,UCpbRA-ixHYClhyXmrI7Aqgw,5xjvHfLNTFU,En3vistas - Juan Carlos I e a monarquía
175,UCjnki743VQdRk4s0tRuBNDg,cnnj5PcrJRU,"¿Por qué en España se permite la monarquía, institución antidemocrática y anacrónica? (2)"
176,UCCuRlJtssdYA7hEMqVHX2rQ,HCj766hz9Fc,"Lo que decía hace tres años la ministra Sira Rego, prometió lealtad al rey: &quot;La monarquía española."
177,UCvowGqDViDbEtkVcHcr1odg,WZX7Y9mdOV8,La Monarquía Española y el Origen de la Dinastía Borbón
178,UCMpGWp11dTT6WQRwHNXAXIw,9o2cSXzI2VQ,Carmen Calvo e Ignacio Camacho - Letras en Sevilla - Monarquía o Repúblcia
179,UCahoM9PXw2SsfcJQfC5d6rQ,Dy8l56BEBX4,8° Básico &quot;La Monarquía Absoluta y La monarquía Parlamentaria &quot;
180,UCedrZ9ERR4-gRrXXjGMbraQ,s9PqHXsuvyE,@opinionpublica.es - Emisión especial: ¿Monarquía o República? Con la colaboración de Jorge Cardoso
181,UCv05qOuJ6Igbe-EyQibJgwQ,QPnwSnNMZMY,Napoleón Bonaparte y las guerras napoleónicas
182,UCyoGb3SMlTlB8CLGVH4c8Rw,R5fkkdmXmc8,La salida de Juan Carlos I vuelve a sacar a debate la cuestión de la monarquía en España
183,UCRvpumrJs0qY1xLzeU0Ss1Q,t09TaBiN_sU,Santiago Abascal: &quot;El Rey Felipe VI es la cabeza de la Nación&quot;
184,UClynBdoJGZ_0COkwC_qh_Eg,D1s1gO_dJjI,Crisis de la monarquía española La farsa de Bayona y la Junta central de Sevilla
185,UCkh2i4imLJG5z_OtvBgSo0Q,p5awFrMOhu8,"Historia de España y su Monarquía 3: República, guerra civil, dictadura y transición."
186,UC7QZIf0dta-XPXsp9Hv4dTw,dVznlZplKAI,CONGRESO: APERTURA de la CORTES GENERALES de la XV LEGISLATURA | RTVE Noticias
187,UCYXjdAUhmK008CGpetMbRnQ,g99bTOgSuwU,"Felicidades, Letizia"
188,UC7QZIf0dta-XPXsp9Hv4dTw,Apio2K-nS3o,CONGRESO: El REY FELIPE VI defiende la CONSTITUCIÓN y una España &quot;SÓLIDA y UNIDA&quot; | RTVE
189,UC4_KeNFWSKD1Ie1eYzrcvog,NTN84w_ALAg,La sociedad española opina sobre la Monarquía
190,UClXDv-cnBCJfdUCDq4qSDww,yn-R30kaHAs,Diferencia entre SOCIALISMO y COMUNISMO - Explicada para principiantes!
191,UCyoGb3SMlTlB8CLGVH4c8Rw,hgeYWh-k6SQ,Día clave para una monarquía española cada vez más contestada
192,UCB6toQXxSyyqr_2U4f_ztPA,qHT9SJJJeL0,Debate en el Parlament de Cataluña sobre la Monarquía Española. CORRUPCIÓN Catalana también 👏👏😅
193,UCERRl7QkpIToZdNkfKNqibw,ZdVpSEL_gxc,EL VIRREINATO DE LA NUEVA ESPAÑA CUARTO GRADO PRIMARIA
194,UCOHCRQDAr9HC5d59XvziJFQ,GVA3Z8BGaQw,&#39;&#39;Hubo un pacto tácito para no discutir sobre la monarquía como forma de Estado&#39;&#39;
195,UCwZ6l0gbQFJJR_Jk6Vpdy_w,G85-TLomxN8,👑 ¿PARA QUÉ SIRVE LA REALEZA? / LOS REYES EN EL MUNDO
