,video_id,author,comment
41,aXLB8r1t8ec,UCbOB-lW9N5rTADpmGapf2nA,"Considerando la insistente y perversa violación del Derecho por parte de tanto sátrapa, considerar: que no sólo debieran ser inhabilitados sino que, asimismo, debieran ser procesados y encarcelados por un delito continuado de alta traición al Estado entre otras concausas, el sátrapa Sánchez y demás adláteres, así como por todas sus implicaciones en las acciones tendentes a la ruptura de España, dentro del concurso de delitos que que está propiciando con los independentistas. En definitiva, son todos unos muy insensatos, mediocres e indecentes políticos. ¿Y qué decir de jueces presuntamente corruptos, Pumpido y compañía? Todo un cúmulo de auténticos despropósitos que vulneran gravemente el Estado de Derecho y niegan totalmente la Democracia en España. ¡Qué asco!"
42,aXLB8r1t8ec,UCDYCT-YVrQVs3mAtTfFj0iQ,Si que recorten los fondos europeos  por qué este tipo se los gasta en chiringuitos.
43,aXLB8r1t8ec,UCHgX6zBue5Bz3EiCwWoGiKA,"La UE no tiene que sancionar a España si no al gobierno con sus sueldos por gastar el dinero en vicio, así dejarían de robarnos todos"
44,aXLB8r1t8ec,UCnpHDtfFUEDoQTZt8KPM01g,Que pesados los cuñaooos ….
45,aXLB8r1t8ec,UCEzBcHjUr1VSNAlGB81LZRg,🎉🎉🎉🎉🎉😢😢😢😢😢❤❤❤❤❤❤❤❤😂😂😂❤❤❤❤❤❤ lliure visca catalunya lliure visca catalunya lliure visca navàs poble jove i molt capaç visca navars poble jove i molt❤❤❤❤❤❤❤❤❤
46,aXLB8r1t8ec,UCI2f_8xoYYvNNnB-AAztt5A,"No tienen cordones ,mucho hablar y poco hacer ,les digo a europa lo que le dijo Netanyahu al traidor ,despues van ustedes"
47,aXLB8r1t8ec,UCUIcF7xE9Inr4Tv09cLTiiQ,Europa no sera afectada.  Y esta ley puefe traer paz interna espanola
48,aXLB8r1t8ec,UC-eSTVVL2hVBq_L4oIzkCxg,"El propio día de la noche electoral se sabía que Feijóo NO podría gobernar y que Sánchez sí. Hay gente hipócrita que finje que no ha sido asi, pero por algo PSOE y Sumar celebraron y por algo a Feijoo le gritaron ""Ayuso presidenta!""."
49,aXLB8r1t8ec,UCx7d6y_s1yCUvJkBzJ8F_6g,Espero los pierda
50,aXLB8r1t8ec,UCFiozCMmPcOibrQzpR8islA,A que no
